| City         | Timestamp           | Metric 1 | Metric 2 | Metric 3 | Metric 4 |
| ------------ | ------------------- | -------: | -------: | -------: | -------: |
| San Diego    | 2024-01-14 21:12:46 |  10.6830 |  41.1958 |          |   8.2335 |
| San Diego    | 2024-05-17 15:22:10 |   8.7341 |  58.3191 |   9.1116 |  27.7152 |
| San Diego    | 2024-05-11 09:30:59 |  11.6324 |  38.8202 |   4.6075 |  28.7330 |
| Philadelphia | 2024-02-26 17:32:39 |  -8.6290 |  54.0745 |   3.1837 |  26.3673 |
| San Antonio  | 2024-04-29 13:23:51 |  39.8082 |  72.8999 |   9.5983 |  29.8986 |
| San Diego    | 2024-01-21 08:54:56 |  27.3411 |  49.0232 |   9.1665 |  27.4739 |
| San Jose     | 2024-01-13 02:10:54 |   1.8819 |  65.7423 |   0.2217 |   1.0731 |
| New York     | 2024-01-25 19:04:34 |  -6.8948 |  30.8049 |   8.0276 |  16.8483 |
| New York     | 2024-03-29 05:20:30 |   0.9635 |  38.8192 |   3.6401 |   7.9890 |
| San Jose     | 2024-05-18 09:14:02 |  -1.6071 |  82.1987 |   4.1015 |  25.6473 |
| New York     | 2024-03-04 13:47:15 |  35.1456 |  54.7529 |          |  25.4303 |
| Houston      | 2024-03-07 22:03:36 |  15.8168 |  80.1199 |   3.7600 |  16.7521 |
| Dallas       | 2024-02-27 21:07:10 |  32.0169 |  53.1944 |   3.5527 |   3.0502 |
| Houston      | 2024-05-09 00:53:10 |  38.6413 |  85.9527 |          |  20.7793 |
| Houston      | 2024-05-12 15:57:55 |  39.6668 |  72.7470 |   1.2637 |   6.4795 |
| Philadelphia | 2024-03-09 01:51:24 |  28.2901 |  35.2392 |   9.3472 |  14.0668 |
| San Antonio  | 2024-02-10 15:05:28 |  16.3498 |  65.8126 |   0.1091 |   6.5970 |
| Chicago      | 2024-01-06 02:59:46 |  26.7868 |  31.5136 |   0.4960 |  22.9801 |
| San Antonio  | 2024-05-08 16:20:53 |  35.1795 |  35.0831 |   9.5973 |   4.5079 |
| San Diego    | 2024-01-31 05:38:46 |  14.6058 |  66.6422 |   1.5156 |  29.4319 |
| San Diego    | 2024-01-25 12:59:32 |  33.0234 |  52.6075 |   0.2121 |  16.7333 |
| New York     | 2024-02-19 12:26:07 |  -7.3838 |  54.0900 |   1.9057 |   6.6371 |
| San Antonio  | 2024-02-14 04:43:05 |  30.7397 |  85.6038 |   9.2506 |  24.3760 |
| San Jose     | 2024-04-22 03:13:26 |  34.5397 |  57.7930 |   3.5836 |  13.0447 |
| Houston      | 2024-01-11 02:53:59 |  -5.2363 |  58.0543 |   4.0729 |  24.7541 |
